Курс;Категория;Всего MB;Размер резервной копии MB 
А.П Яковлева Т.М;Общепрофессиональный цикл;271;0
Математика П16 2022;Базовые дисциплины;265;0
БЖД Ю20;Базовые дисциплины;239;0
МДК 03.01 16 группа (Филиал);Базовые дисциплины;189;0
ОП;Базовые дисциплины;182;0
МДК.02.02 НП-31 Лебедева.И.Д;Профессиональный Модуль;174;0
Информатика 1 курс;Базовые дисциплины;174;0
ДМ;Базовые дисциплины;169;0
Русский язык, Литература. 2020;Базовые дисциплины;167;0
А Ю-10 Пронина.С.В;Общеобразовательные дисциплины ;162;0
Админ.Право Яковлева Т.М.;Общепрофессиональный цикл;156;0
Ф Пронина С.В.;Общеобразовательные дисциплины ;147;0
Техническая механика с основами технических измерений 16 группа (Филиал);Базовые дисциплины;142;0
ПСАТОиР У-29 Хрусталева.С.Н;Профильные дисциплины;140;0
ЭВМ П26;Базовые дисциплины;113;0
МДК 04.01;Базовые дисциплины;95;0
Ф 18 Арцыбашева И.И.;Общеобразовательные дисциплины ;91;0
Экология;Базовые дисциплины;89;0
Право;Базовые дисциплины;88;0
Математика Ю-10;Базовые дисциплины;84;0
ЭВМ ЗО;Базовые дисциплины;83;0
МДК.01.02 НП21 Лебедева.И.Д;Профессиональный Модуль;80;0
ОДБ. 04. «Обществознание» (Филиал);Базовые дисциплины;78;0
М У-19 Ткачёва.Ю.С;Общеобразовательные дисциплины ;76;0
МДК 01.03 Крылов А.Б.;Базовые дисциплины;73;0
Экология(Филиал);Базовые дисциплины;64;0
МДК 05.01;Базовые дисциплины;63;0
ИЯ У-39 Эдиберидзе.Л.Г;Общеобразовательные дисциплины ;62;0
ОП 01 Инженерная графика;Базовые дисциплины;59;0
ОснЭколПрава Яковлева Т.М;Общепрофессиональный цикл;58;0
МДК.01.02 Петрова.Г.А;Профессиональный Модуль;57;0
Химия 18 2021;Базовые дисциплины;56;0
Литература (Филиал);Базовые дисциплины;55;0
Русский язык Э-12, П-16 ;Базовые дисциплины;53;0
И Михайлов.А.С;Общеобразовательные дисциплины ;52;0
Английский язык;Базовые дисциплины;51;0
Компьютерная графика ;Базовые дисциплины;51;0
МДК.01.03 Хрусталёва.С.Н;Профессиональный Модуль;48;0
М.Д.К.01.02;Базовые дисциплины;47;0
МДК 01.01;Базовые дисциплины;47;0
Административное право;Базовые дисциплины;45;0
Электротехника НП-25;Базовые дисциплины;42;0
ТГП;Базовые дисциплины;41;0
Философия;Базовые дисциплины;41;0
Английский Язык (Филиал);Базовые дисциплины;41;0
МДК.01.01 Петрова Г.А;Профессиональный Модуль;39;0
лектрические машины и аппараты;Базовые дисциплины;38;0
ДЭ;Базовые дисциплины;38;0
Основы калькуляции;Базовые дисциплины;38;0
Обществознание для профессий среднего профессионального образования (базовый уровень);Базовые дисциплины;36;0
МДК.03.03 У-49 Хрусталева.С.Н;Профессиональный Модуль;36;0
Гео;Базовые дисциплины;35;0
МДК 01.01 Монтаж промышленного оборудования и контроль за ним;Базовые дисциплины;35;0
ИнЯз П-16 Эдиберидзе Л.Г.;Общеобразовательные дисциплины ;35;0
ОЭП Яковлева Т.М..;Общепрофессиональный цикл;34;0
Диплом Э-42;Базовые дисциплины;34;0
МДК 01.02  29 группа;Базовые дисциплины;34;0
МПО;Базовые дисциплины;33;0
ИТ Ю-30;Базовые дисциплины;33;0
КП;Базовые дисциплины;32;0
М П-13 Ткачева.Ю.С;Общеобразовательные дисциплины ;32;0
ТСР У-39 Леонова.Н.В;Профильные дисциплины;32;0
Математика (Филиал);Базовые дисциплины;31;0
А П-16 Пронина С.В.;Общеобразовательные дисциплины ;31;0
ИнЯз НП-15 Эдиберидзе Л.Г.;Общеобразовательные дисциплины ;30;0
М С-17 Ткачева.Ю.С;Общеобразовательные дисциплины ;30;0
ОПБД;Базовые дисциплины;28;0
МДК 03.01 Повар;Базовые дисциплины;27;0
ИТвПД Плискин В.А.;Общепрофессиональный цикл;27;0
Слесарное дело (Филиал);Базовые дисциплины;27;0
МДК 01.04;Базовые дисциплины;26;0
УП 03 П-26;Базовые дисциплины;26;0
Ф 26 Арцыбашева И.И.;Общеобразовательные дисциплины ;25;0
ПРОДАВЕЦ-КАССИР;Базовые дисциплины;25;0
Русский язык 3;Базовые дисциплины;25;0
ОПиП С-27 Румянцева.О.В;Общепрофессиональный цикл;24;0
Математика НП-21;Базовые дисциплины;24;0
